n rho12 rho13 rho14 rho23 rho24 rho34
4 0.773054 0.702290 0.599665 0.590519 0.618926 0.828602
5 0.750459 0.663165 0.557943 0.530070 0.584586 0.783697
7 0.731420 0.616265 0.503037 0.450062 0.538661 0.722853
9 0.736730 0.605628 0.487168 0.424036 0.526378 0.701152
11 0.746456 0.608160 0.487213 0.419378 0.527015 0.695768
13 0.756409 0.614993 0.493627 0.423647 0.532132 0.697863
16 0.770889 0.626827 0.507752 0.437291 0.542556 0.708464
20 0.788070 0.639977 0.527903 0.458606 0.556590 0.729950
23 0.799618 0.646680 0.542025 0.473686 0.566185 0.749039
28 0.816288 0.652200 0.561522 0.493127 0.579043 0.780231
33 0.829259 0.653668 0.575574 0.505607 0.588102 0.804809
38 0.838753 0.654192 0.585396 0.514608 0.594881 0.822729
45 0.848055 0.655178 0.595408 0.525078 0.602827 0.841853
52 0.854806 0.656038 0.603120 0.533939 0.609968 0.856260
60 0.860737 0.656548 0.609213 0.542749 0.616779 0.868201
69 0.865775 0.656644 0.612874 0.551287 0.622518 0.877877
79 0.869994 0.656165 0.614254 0.559733 0.627474 0.885662
91 0.873407 0.655039 0.613665 0.568555 0.632025 0.892403
104 0.875428 0.653827 0.611870 0.576714 0.636077 0.897532
119 0.876150 0.653005 0.609549 0.585012 0.640187 0.901803
135 0.875312 0.652134 0.606536 0.592152 0.643378 0.905223
154 0.872457 0.650529 0.602058 0.597913 0.645262 0.908337
174 0.867939 0.648202 0.596734 0.601314 0.645617 0.910799
198 0.861448 0.644709 0.589942 0.603268 0.644931 0.913083
223 0.854291 0.640528 0.583201 0.604006 0.644044 0.915252
252 0.846161 0.635897 0.576916 0.604678 0.643973 0.917767
285 0.837510 0.631999 0.572407 0.606854 0.645998 0.920669
321 0.829311 0.629946 0.570379 0.611473 0.650274 0.923901
362 0.821727 0.629958 0.570813 0.618802 0.656851 0.927417
407 0.815383 0.631815 0.573306 0.628360 0.665110 0.930893
457 0.810055 0.636309 0.578265 0.640343 0.675125 0.934143
513 0.805309 0.644095 0.585914 0.654508 0.686724 0.937028
575 0.801416 0.655261 0.596161 0.670262 0.699401 0.939514
645 0.798873 0.669559 0.608869 0.686811 0.712609 0.941529
723 0.797484 0.685269 0.622489 0.702417 0.725210 0.942948
809 0.796226 0.700439 0.635417 0.715696 0.736410 0.943819
905 0.794485 0.714158 0.646956 0.726546 0.746318 0.944251
1011 0.792161 0.725945 0.656484 0.735137 0.755306 0.944159
1130 0.788519 0.735921 0.663212 0.741619 0.763879 0.943264
1261 0.782915 0.744448 0.666665 0.746080 0.772044 0.941571
1407 0.774562 0.753036 0.667504 0.749382 0.780637 0.939105
1570 0.761952 0.762653 0.666356 0.751836 0.790006 0.935877
