n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.773271 0.675240 0.533207 0.474686 0.444580 0.779590
5 0.801868 0.682648 0.545941 0.497206 0.465551 0.783182
7 0.844770 0.701692 0.575862 0.539507 0.504996 0.795722
9 0.873015 0.722820 0.608818 0.576163 0.542044 0.811517
11 0.891253 0.743944 0.642706 0.607584 0.577305 0.828450
13 0.903433 0.764388 0.676587 0.635080 0.611043 0.845802
16 0.915559 0.793075 0.725437 0.670942 0.658131 0.871520
20 0.925771 0.824938 0.780430 0.709189 0.710053 0.901653
23 0.930926 0.842464 0.810377 0.730339 0.738221 0.918749
28 0.936694 0.861277 0.841215 0.753891 0.767332 0.937085
33 0.940220 0.872401 0.858456 0.768219 0.783278 0.947869
38 0.942344 0.879437 0.869214 0.777053 0.792497 0.955107
45 0.943852 0.884842 0.877471 0.783328 0.798281 0.961688
52 0.944259 0.887159 0.881028 0.785214 0.799069 0.965837
60 0.943847 0.887596 0.881892 0.784067 0.796451 0.968902
69 0.942658 0.886340 0.880451 0.779949 0.790745 0.971021
79 0.940728 0.883624 0.877275 0.772985 0.782458 0.972373
91 0.937788 0.879296 0.872404 0.762482 0.771112 0.973150
104 0.934068 0.873977 0.866640 0.749720 0.758185 0.973432
119 0.929351 0.867709 0.860141 0.734495 0.743459 0.973492
135 0.924059 0.861207 0.853765 0.718383 0.728491 0.973515
154 0.917627 0.853829 0.847083 0.699718 0.711943 0.973615
174 0.910780 0.846320 0.840833 0.680539 0.695726 0.973826
198 0.902484 0.837474 0.833884 0.658011 0.677315 0.974197
223 0.893786 0.828583 0.827038 0.635460 0.659219 0.974567
252 0.883538 0.819017 0.819591 0.610825 0.639596 0.974773
285 0.871506 0.809397 0.811813 0.584788 0.618784 0.974608
321 0.858129 0.800698 0.804455 0.559047 0.597951 0.974105
362 0.843158 0.792912 0.797626 0.533289 0.576844 0.973418
407 0.827904 0.786909 0.792085 0.510121 0.557643 0.972640
457 0.812863 0.783181 0.788206 0.490686 0.541272 0.971679
513 0.798315 0.781922 0.786044 0.475673 0.528362 0.970488
575 0.784654 0.783522 0.785837 0.466170 0.519834 0.969129
645 0.771291 0.788099 0.787726 0.461631 0.515339 0.967492
723 0.758021 0.794474 0.791064 0.459764 0.513096 0.965578
809 0.746149 0.800865 0.794617 0.459536 0.512568 0.963438
905 0.737351 0.807035 0.798146 0.462332 0.515129 0.961173
1011 0.733053 0.813980 0.802682 0.470546 0.523003 0.959150
1130 0.732579 0.821209 0.807773 0.482949 0.535020 0.957636
1261 0.733020 0.827259 0.811975 0.494356 0.546088 0.956779
1407 0.731996 0.831539 0.814472 0.502800 0.554404 0.956234
1570 0.728213 0.834814 0.815310 0.509822 0.560990 0.955515
