n rho12 rho13 rho14 rho23 rho24 rho34
4 0.250057 0.265137 0.145876 0.547349 0.341092 0.204097
5 0.246916 0.267563 0.152516 0.548678 0.337667 0.205493
7 0.235953 0.260760 0.165615 0.549233 0.334902 0.212259
9 0.228790 0.254829 0.187414 0.556698 0.342917 0.227537
11 0.226791 0.254758 0.217744 0.569144 0.357750 0.248370
13 0.227527 0.258880 0.251186 0.583511 0.375116 0.272265
16 0.232072 0.270603 0.303087 0.606306 0.402526 0.311847
20 0.241870 0.291650 0.368358 0.635802 0.436743 0.364432
23 0.249753 0.308164 0.410665 0.655072 0.458878 0.399737
28 0.262250 0.333292 0.466827 0.680906 0.487658 0.447541
33 0.272437 0.353765 0.506819 0.700454 0.508158 0.484366
38 0.279368 0.369675 0.534162 0.715801 0.522649 0.512943
45 0.283919 0.384829 0.557519 0.732375 0.536555 0.542204
52 0.283883 0.392764 0.569795 0.744787 0.546458 0.561946
60 0.280448 0.394965 0.575789 0.755298 0.554780 0.575513
69 0.274241 0.391465 0.576376 0.763281 0.561271 0.582553
79 0.265843 0.383178 0.572618 0.768237 0.566162 0.583979
91 0.255215 0.370259 0.564953 0.770359 0.570198 0.580775
104 0.244171 0.355224 0.555311 0.769766 0.572842 0.574495
119 0.232124 0.338018 0.543902 0.766878 0.573748 0.566062
135 0.219868 0.319997 0.532424 0.762392 0.572289 0.557022
154 0.205896 0.298466 0.520408 0.756172 0.567600 0.546921
174 0.191057 0.274487 0.509576 0.749186 0.559782 0.537057
198 0.172293 0.243571 0.498587 0.740697 0.547411 0.526211
223 0.150922 0.209321 0.487891 0.732117 0.532371 0.515658
252 0.125873 0.169625 0.475906 0.723187 0.515065 0.504284
285 0.100006 0.128021 0.463751 0.714391 0.497971 0.492676
321 0.074634 0.086786 0.450703 0.705664 0.482634 0.480736
362 0.048223 0.043782 0.434004 0.696669 0.469091 0.467578
407 0.022573 0.002368 0.413207 0.688272 0.459090 0.454611
457 -0.000173 -0.034857 0.388489 0.680391 0.453245 0.442593
513 -0.017308 -0.066769 0.361069 0.672282 0.450702 0.430380
575 -0.025995 -0.090442 0.334118 0.663299 0.450531 0.418128
645 -0.024424 -0.102565 0.308283 0.653162 0.454104 0.408937
723 -0.013604 -0.103530 0.284766 0.642153 0.462670 0.405290
809 0.003001 -0.098210 0.265300 0.629035 0.474630 0.405022
905 0.020586 -0.094777 0.248502 0.611942 0.487650 0.403889
1011 0.036047 -0.097304 0.235787 0.589591 0.497293 0.395909
1130 0.046554 -0.108150 0.225581 0.559548 0.499247 0.372157
1261 0.057285 -0.121342 0.221521 0.521792 0.495871 0.338447
1407 0.068654 -0.139135 0.220686 0.478056 0.491744 0.304821
1570 0.074412 -0.168459 0.218543 0.432536 0.489705 0.276233
1750 0.075673 -0.205153 0.213702 0.388105 0.490219 0.252267
