n rho12 rho13 rho14 rho23 rho24 rho34
4 0.526086 0.412126 0.737752 0.656498 0.662114 0.425234
5 0.506223 0.403042 0.758565 0.673077 0.648601 0.418663
7 0.474320 0.388527 0.791356 0.698211 0.624830 0.404234
9 0.456177 0.384014 0.815335 0.714207 0.609883 0.396251
11 0.449536 0.389425 0.832248 0.726875 0.603051 0.397063
13 0.451600 0.402368 0.844297 0.738202 0.603127 0.406011
16 0.466286 0.431498 0.857198 0.753757 0.613723 0.431665
20 0.499806 0.480124 0.869943 0.772367 0.641651 0.480313
23 0.530127 0.518363 0.877900 0.784187 0.668199 0.521152
28 0.580926 0.577411 0.889179 0.800413 0.713416 0.586873
33 0.623607 0.624712 0.897986 0.814600 0.750896 0.640811
38 0.655534 0.659316 0.904435 0.827481 0.778035 0.680388
45 0.685989 0.692864 0.910150 0.841917 0.803663 0.718789
52 0.704918 0.715319 0.913058 0.852168 0.820292 0.745119
60 0.716408 0.730895 0.914160 0.860210 0.831400 0.764629
69 0.721077 0.740172 0.913662 0.866181 0.837737 0.778394
79 0.720141 0.744225 0.911925 0.870363 0.840244 0.787605
91 0.714312 0.744190 0.909018 0.873325 0.839442 0.793305
104 0.705245 0.741117 0.905432 0.874850 0.836150 0.795392
119 0.693787 0.735682 0.901329 0.875036 0.830920 0.794420
135 0.681902 0.728701 0.897322 0.873724 0.824738 0.790683
154 0.668924 0.719868 0.892871 0.870579 0.817417 0.783988
174 0.657313 0.710963 0.888481 0.866308 0.810523 0.775824
198 0.646681 0.701242 0.883508 0.860933 0.803974 0.765757
223 0.639135 0.691885 0.878587 0.855573 0.798991 0.755117
252 0.633518 0.682108 0.873080 0.849955 0.794574 0.743225
285 0.629322 0.672691 0.867154 0.844561 0.790132 0.731313
321 0.626446 0.664771 0.861310 0.839679 0.785232 0.720534
362 0.625106 0.658655 0.855616 0.834608 0.779169 0.710313
407 0.626943 0.656046 0.850904 0.829827 0.772576 0.701429
457 0.630883 0.656936 0.846658 0.824982 0.764811 0.692817
513 0.634012 0.659929 0.841618 0.819344 0.754845 0.683489
575 0.635739 0.664974 0.834801 0.812484 0.743173 0.674413
645 0.636978 0.671980 0.825436 0.803963 0.730062 0.665972
723 0.636132 0.677919 0.813169 0.792408 0.714166 0.656294
809 0.630742 0.680446 0.798881 0.776877 0.693874 0.644285
905 0.619253 0.678106 0.782985 0.757041 0.668866 0.629136
1011 0.603910 0.670236 0.767055 0.733727 0.642701 0.612699
1130 0.585871 0.658390 0.751209 0.709232 0.619622 0.601322
1261 0.565447 0.645494 0.735510 0.685715 0.597024 0.594559
1407 0.538140 0.628434 0.716916 0.661224 0.567394 0.584801
1570 0.506615 0.605952 0.698834 0.635399 0.531459 0.571404
