,index,Subject,Experiment number, Experiment Activity, Experiment Type,Channels number,Channels lenght,Non-zero lenght
0,0,S001,03,Left Right,Real,64,20000,19920
1,0,S001,04,Left Right,Imaginary,64,20000,19920
2,0,S001,05,Top Down,Real,64,20000,19920
3,0,S001,06,Top Down,Imaginary,64,20000,19917
4,0,S001,07,Left Right,Real,64,20000,19920
5,0,S001,08,Left Right,Imaginary,64,20000,19916
6,0,S001,09,Top Down,Real,64,20000,19920
7,0,S001,10,Top Down,Imaginary,64,20000,19920
8,0,S001,11,Left Right,Real,64,20000,19919
9,0,S001,12,Left Right,Imaginary,64,20000,19919
10,0,S001,13,Top Down,Real,64,20000,19920
11,0,S001,14,Top Down,Imaginary,64,20000,19920
12,0,S002,03,Left Right,Real,64,19680,19675
13,0,S002,04,Left Right,Imaginary,64,19680,19680
14,0,S002,05,Top Down,Real,64,19680,19680
15,0,S002,06,Top Down,Imaginary,64,19680,19680
16,0,S002,07,Left Right,Real,64,19680,19676
17,0,S002,08,Left Right,Imaginary,64,19680,19680
18,0,S002,09,Top Down,Real,64,19680,19679
19,0,S002,10,Top Down,Imaginary,64,19680,19680
20,0,S002,11,Left Right,Real,64,19680,19680
21,0,S002,12,Left Right,Imaginary,64,19680,19680
22,0,S002,13,Top Down,Real,64,19680,19680
23,0,S002,14,Top Down,Imaginary,64,19680,19680
24,0,S003,03,Left Right,Real,64,20000,19920
25,0,S003,04,Left Right,Imaginary,64,20000,19920
26,0,S003,05,Top Down,Real,64,20000,19920
27,0,S003,06,Top Down,Imaginary,64,20000,19920
28,0,S003,07,Left Right,Real,64,20000,19920
29,0,S003,08,Left Right,Imaginary,64,20000,19920
30,0,S003,09,Top Down,Real,64,20000,19920
31,0,S003,10,Top Down,Imaginary,64,20000,19920
32,0,S003,11,Left Right,Real,64,20000,19920
33,0,S003,12,Left Right,Imaginary,64,20000,19920
34,0,S003,13,Top Down,Real,64,20000,19920
35,0,S003,14,Top Down,Imaginary,64,20000,19920
36,0,S004,03,Left Right,Real,64,19680,19679
37,0,S004,04,Left Right,Imaginary,64,19680,19679
38,0,S004,05,Top Down,Real,64,19680,19680
39,0,S004,06,Top Down,Imaginary,64,19680,19680
40,0,S004,07,Left Right,Real,64,19680,19680
41,0,S004,08,Left Right,Imaginary,64,19680,19680
42,0,S004,09,Top Down,Real,64,19680,19680
43,0,S004,10,Top Down,Imaginary,64,19680,19680
44,0,S004,11,Left Right,Real,64,19680,19679
45,0,S004,12,Left Right,Imaginary,64,19680,19679
46,0,S004,13,Top Down,Real,64,19680,19680
47,0,S004,14,Top Down,Imaginary,64,19680,19680
48,0,S005,03,Left Right,Real,64,19680,19680
49,0,S005,04,Left Right,Imaginary,64,19680,19680
50,0,S005,05,Top Down,Real,64,19680,19680
51,0,S005,06,Top Down,Imaginary,64,19680,19680
52,0,S005,07,Left Right,Real,64,19680,19679
53,0,S005,08,Left Right,Imaginary,64,19680,19680
54,0,S005,09,Top Down,Real,64,19680,19680
55,0,S005,10,Top Down,Imaginary,64,19680,19680
56,0,S005,11,Left Right,Real,64,19680,19680
57,0,S005,12,Left Right,Imaginary,64,19680,19680
58,0,S005,13,Top Down,Real,64,19680,19680
59,0,S005,14,Top Down,Imaginary,64,19680,19680
60,0,S006,03,Left Right,Real,64,19680,19680
61,0,S006,04,Left Right,Imaginary,64,19680,19679
62,0,S006,05,Top Down,Real,64,19680,19677
63,0,S006,06,Top Down,Imaginary,64,19680,19680
64,0,S006,07,Left Right,Real,64,19680,19680
65,0,S006,08,Left Right,Imaginary,64,19680,19680
66,0,S006,09,Top Down,Real,64,19680,19679
