,index,Subject,Experiment number, Experiment Activity, Experiment Type,Channels number,Channels lenght,Non-zero lenght
1044,0,S088,03,Left Right,Real,64,15872,15808
1045,0,S088,04,Left Right,Imaginary,64,15872,15808
1046,0,S088,05,Top Down,Real,64,15872,15808
1047,0,S088,06,Top Down,Imaginary,64,15872,15806
1048,0,S088,07,Left Right,Real,64,15872,15808
1049,0,S088,08,Left Right,Imaginary,64,15872,15808
1050,0,S088,09,Top Down,Real,64,15872,15806
1051,0,S088,10,Top Down,Imaginary,64,15872,15808
1052,0,S088,11,Left Right,Real,64,15872,15808
1053,0,S088,12,Left Right,Imaginary,64,15872,15808
1054,0,S088,13,Top Down,Real,64,15872,15806
1055,0,S088,14,Top Down,Imaginary,64,15872,15808
1092,0,S092,03,Left Right,Real,64,15872,15808
1093,0,S092,04,Left Right,Imaginary,64,15872,15808
1094,0,S092,05,Top Down,Real,64,15872,15808
1095,0,S092,06,Top Down,Imaginary,64,15872,15808
1096,0,S092,07,Left Right,Real,64,15872,15808
1097,0,S092,08,Left Right,Imaginary,64,15872,15808
1098,0,S092,09,Top Down,Real,64,15872,15808
1099,0,S092,10,Top Down,Imaginary,64,15872,15808
1100,0,S092,11,Left Right,Real,64,15872,15807
1101,0,S092,12,Left Right,Imaginary,64,15872,15808
1102,0,S092,13,Top Down,Real,64,15872,15806
1103,0,S092,14,Top Down,Imaginary,64,15872,15808
1188,0,S100,03,Left Right,Real,64,15744,15743
1189,0,S100,04,Left Right,Imaginary,64,15744,15744
1190,0,S100,05,Top Down,Real,64,15744,15744
1191,0,S100,06,Top Down,Imaginary,64,15744,15744
1192,0,S100,07,Left Right,Real,64,15744,15744
1193,0,S100,08,Left Right,Imaginary,64,15744,15744
1194,0,S100,09,Top Down,Real,64,15744,15744
1195,0,S100,10,Top Down,Imaginary,64,15744,15744
1196,0,S100,11,Left Right,Real,64,15744,15743
1197,0,S100,12,Left Right,Imaginary,64,15744,15742
1198,0,S100,13,Top Down,Real,64,15744,15743
1199,0,S100,14,Top Down,Imaginary,64,15744,15744
1241,0,S104,08,Left Right,Imaginary,64,16960,16876
1262,0,S106,05,Top Down,Real,64,5920,5808
